product_code,product_name,vendor,product_type,category,accessoryType,paymentType,description,standard_cost,standard_rep_price,new_cost,new_rep_price,upgrade_cost,upgrade_rep_price,is_active,available_for_all,sales_rep_credit,funding,lease
AC-AMSPlus-1,"ACDI advanced software maintenance and support, first year required - Commercial - 1 Year",ACDI,Application,PaperCut,Software License,Monthly,,$268.56 ,,$179.04 ,$202.32 ,$179.04 ,$202.32 ,,,,,
AC-AMSPLUS-2,"ACDI advanced software maintenance and support, first year required - Commercial - 2 Year",ACDI,Application,PaperCut,Software License,Monthly,,$537.12 ,,$358.08 ,$404.63 ,$358.08 ,$404.63 ,,,,,
AC-AMSPLUS-3,"ACDI advanced software maintenance and support, first year required - Commercial - 3 Year",ACDI,Application,PaperCut,Software License,Monthly,,$671.40 ,,$447.60 ,$505.79 ,$447.60 ,$505.79 ,,,,,
AC-AMSPLUS-4,"ACDI advanced software maintenance and support, first year required - Commercial - 4 Year",ACDI,Application,PaperCut,Software License,Monthly,,$895.20 ,,$596.80 ,$674.38 ,$596.80 ,$674.38 ,,,,,
AC-AMSPLUS-5,"ACDI advanced software maintenance and support, first year required - Commercial - 5 Year",ACDI,Application,PaperCut,Software License,Monthly,,$1.50 ,,$1.00 ,$1.13 ,$1.00 ,$1.13 ,,,,,
AC-AMSPlus-1,"ACDI advanced software maintenance and support, first year required - SMB - 1 Year",ACDI,Application,PaperCut,Software License,Monthly,,$268.56 ,,$179.04 ,$202.32 ,$179.04 ,$202.32 ,,,,,
AC-AMSPLUS-2,"ACDI advanced software maintenance and support, first year required - SMB - 2 Year",ACDI,Application,PaperCut,Software License,Monthly,,$537.12 ,,$358.08 ,$404.63 ,$358.08 ,$404.63 ,,,,,
AC-AMSPLUS-3,"ACDI advanced software maintenance and support, first year required - SMB - 3 Year",ACDI,Application,PaperCut,Software License,Monthly,,$671.40 ,,$447.60 ,$505.79 ,$447.60 ,$505.79 ,,,,,
AC-AMSPLUS-4,"ACDI advanced software maintenance and support, first year required - SMB - 4 Year",ACDI,Application,PaperCut,Software License,Monthly,,$895.20 ,,$596.80 ,$674.38 ,$596.80 ,$674.38 ,,,,,
AC-AMSPLUS-5,"ACDI advanced software maintenance and support, first year required - SMB - 5 Year",ACDI,Application,PaperCut,Software License,Monthly,,$1.50 ,,$1.00 ,$1.13 ,$1.00 ,$1.13 ,,,,,
AC-AMS-1,"ACDI annual software maintenance and support, first year required - Commercial - 1 Year",ACDI,Application,PaperCut,Software License,Monthly,,$179.04 ,,$119.36 ,$134.88 ,$119.36 ,$134.88 ,,,,,
AC-AMS-2,"ACDI annual software maintenance and support, first year required - Commercial - 2 Year",ACDI,Application,PaperCut,Software License,Monthly,,$358.08 ,,$238.72 ,$269.75 ,$238.72 ,$269.75 ,,,,,
AC-AMS-3,"ACDI annual software maintenance and support, first year required - Commercial - 3 Year",ACDI,Application,PaperCut,Software License,Monthly,,$402.84 ,,$268.56 ,$303.47 ,$268.56 ,$303.47 ,,,,,
AC-AMS-4,"ACDI annual software maintenance and support, first year required - Commercial - 4 Year",ACDI,Application,PaperCut,Software License,Monthly,,$537.12 ,,$358.08 ,$404.63 ,$358.08 ,$404.63 ,,,,,
AC-AMS-5,"ACDI annual software maintenance and support, first year required - Commercial - 5 Year",ACDI,Application,PaperCut,Software License,Monthly,,$1.50 ,,$1.00 ,$1.13 ,$1.00 ,$1.13 ,,,,,
AC-AMS-1,"ACDI annual software maintenance and support, first year required - SMB - 1 Year",ACDI,Application,PaperCut,Software License,Monthly,,$179.04 ,,$119.36 ,$134.88 ,$119.36 ,$134.88 ,,,,,
AC-AMS-2,"ACDI annual software maintenance and support, first year required - SMB - 2 Year",ACDI,Application,PaperCut,Software License,Monthly,,$358.08 ,,$238.72 ,$269.75 ,$238.72 ,$269.75 ,,,,,
AC-AMS-3,"ACDI annual software maintenance and support, first year required - SMB - 3 Year",ACDI,Application,PaperCut,Software License,Monthly,,$402.84 ,,$268.56 ,$303.47 ,$268.56 ,$303.47 ,,,,,
